Prospecto,Semana,Verificado,Oe,PrioridadProspecto,Canal
1,1,Si,6,Prioridad Alta,Organico
2,1,No,,Prioridad Alta,Organico
3,1,Si,5,Prioridad Alta,Facebook
4,1,Si,14,Prioridad Alta,AdWords
5,1,Si,14,Prioridad Alta,AdWords
6,1,No,,Prioridad Baja,Facebook
7,1,Si,6,Prioridad Alta,Instagram
8,1,Si,15,Prioridad Alta,Instagram
9,1,Si,20,Prioridad Alta,Instagram
10,1,Si,4,Prioridad Alta,Instagram
11,1,Si,1,Prioridad Alta,Instagram
12,1,No,,Prioridad Media,Instagram
13,1,No,,Prioridad Alta,AdWords
14,1,Si,9,Prioridad Media,AdWords
15,1,No,,Prioridad Alta,Instagram
16,1,No,,Prioridad Alta,Organico
17,1,No,,Prioridad Baja,Organico
18,1,No,,Prioridad Alta,AdWords
19,1,Si,14,Prioridad Alta,Organico
20,1,No,,Prioridad Alta,Organico
21,1,No,,Prioridad Baja,Organico
22,1,Si,2,Prioridad Alta,AdWords
23,1,Si,1,Prioridad Alta,Organico
24,1,Si,6,Prioridad Alta,AdWords
25,1,No,,Prioridad Alta,Facebook
26,1,No,,Prioridad Baja,AdWords
27,1,Si,17,Prioridad Alta,Facebook
28,1,Si,14,Prioridad Media,AdWords
29,1,Si,3,Prioridad Alta,Instagram
30,1,Si,1,Prioridad Media,Instagram
31,1,No,,Prioridad Media,Instagram
32,1,Si,6,Prioridad Alta,AdWords
33,1,Si,7,Prioridad Alta,Organico
34,1,No,,Prioridad Alta,AdWords
35,1,Si,3,Prioridad Alta,Instagram
36,1,No,,Prioridad Baja,AdWords
37,1,No,,Prioridad Media,AdWords
38,1,Si,6,Prioridad Alta,AdWords
39,1,Si,2,Prioridad Alta,Instagram
40,1,No,,Prioridad Media,Organico
41,1,Si,4,Prioridad Alta,Instagram
42,1,No,,Prioridad Baja,AdWords
43,1,Si,11,Prioridad Alta,Instagram
44,1,No,,Prioridad Media,Instagram
45,1,No,,Prioridad Alta,Organico
46,1,No,,Prioridad Alta,Instagram
47,1,No,,Prioridad Media,Instagram
48,1,No,,Prioridad Media,AdWords
49,1,No,,Prioridad Baja,Organico
50,1,No,,Prioridad Baja,Instagram
51,1,No,,Prioridad Alta,Facebook
52,1,No,,Prioridad Baja,Organico
53,1,No,,Prioridad Media,Organico
54,1,Si,5,Prioridad Alta,Organico
55,1,Si,17,Prioridad Alta,AdWords
56,1,No,,Prioridad Baja,Organico
57,1,Si,6,Prioridad Alta,Organico
58,1,No,,Prioridad Media,AdWords
59,1,Si,2,Prioridad Alta,Facebook
60,1,No,,Prioridad Baja,Organico
61,1,Si,8,Prioridad Alta,Organico
62,1,No,,Prioridad Alta,AdWords
63,1,Si,16,Prioridad Alta,Organico
64,1,Si,17,Prioridad Alta,AdWords
65,1,No,,Prioridad Baja,Instagram
66,1,Si,2,Prioridad Alta,AdWords
67,1,No,,Prioridad Alta,Instagram
68,1,No,,Prioridad Alta,AdWords
69,1,Si,7,Prioridad Alta,Instagram
70,1,No,,Prioridad Alta,Instagram
71,1,No,,Prioridad Baja,AdWords
72,1,No,,Prioridad Media,Organico
73,1,No,,Prioridad Baja,Facebook
74,1,Si,5,Prioridad Alta,AdWords
75,1,No,,Prioridad Baja,Instagram
76,1,No,,Prioridad Media,AdWords
77,1,No,,Prioridad Media,Facebook
78,1,No,,Prioridad Media,AdWords
79,1,Si,18,Prioridad Alta,AdWords
80,1,No,,Prioridad Baja,Instagram
81,1,Si,3,Prioridad Alta,Facebook
82,1,Si,10,Prioridad Media,Instagram
83,1,No,,Prioridad Media,Instagram
84,1,No,,Prioridad Media,AdWords
85,1,No,,Prioridad Baja,Instagram
86,1,Si,17,Prioridad Alta,AdWords
87,1,Si,7,Prioridad Alta,Organico
88,1,Si,4,Prioridad Alta,AdWords
89,1,Si,2,Prioridad Alta,Organico
90,1,No,,Prioridad Media,Instagram
91,1,No,,Prioridad Media,Organico
92,1,No,,Prioridad Media,Instagram
93,1,Si,2,Prioridad Alta,AdWords
94,1,No,,Prioridad Media,Organico
95,1,Si,1,Prioridad Alta,AdWords
96,1,No,,Prioridad Baja,Organico
97,1,Si,8,Prioridad Alta,AdWords
98,1,No,,Prioridad Media,AdWords
99,1,Si,21,Prioridad Alta,Facebook
100,1,Si,18,Prioridad Alta,AdWords
101,1,No,,Prioridad Baja,Facebook
102,1,Si,1,Prioridad Alta,Organico
103,1,Si,7,Prioridad Media,Instagram
104,1,No,,Prioridad Baja,AdWords
105,1,Si,2,Prioridad Alta,Organico
106,1,No,,Prioridad Media,AdWords
107,1,Si,7,Prioridad Media,Instagram
108,1,Si,9,Prioridad Alta,AdWords
109,1,Si,7,Prioridad Alta,AdWords
110,1,No,,Prioridad Baja,AdWords
111,1,No,,Prioridad Alta,Organico
112,1,Si,7,Prioridad Alta,AdWords
113,1,No,,Prioridad Media,AdWords
114,1,No,,Prioridad Alta,Instagram
115,1,Si,1,Prioridad Alta,Organico
116,1,Si,6,Prioridad Media,Facebook
117,2,Si,6,Prioridad Alta,AdWords
118,2,Si,6,Prioridad Baja,Organico
119,2,Si,15,Prioridad Alta,Instagram
120,2,No,,Prioridad Baja,Instagram
121,2,No,,Prioridad Alta,Organico
122,2,No,,Prioridad Baja,Facebook
123,2,Si,1,Prioridad Media,Instagram
124,2,No,,Prioridad Alta,Instagram
125,2,Si,7,Prioridad Alta,Instagram
126,2,Si,1,Prioridad Alta,AdWords
127,2,No,,Prioridad Baja,Instagram
128,2,No,,Prioridad Baja,AdWords
129,2,No,,Prioridad Alta,AdWords
130,2,Si,11,Prioridad Alta,Instagram
131,2,Si,4,Prioridad Alta,Instagram
132,2,No,,Prioridad Alta,AdWords
133,2,Si,13,Prioridad Alta,Instagram
134,2,Si,6,Prioridad Alta,AdWords
135,2,Si,7,Prioridad Baja,Organico
136,2,No,,Prioridad Baja,Instagram
137,2,Si,6,Prioridad Alta,AdWords
138,2,Si,7,Prioridad Alta,AdWords
139,2,Si,2,Prioridad Alta,Facebook
140,2,No,,Prioridad Baja,Organico
141,2,No,,Prioridad Media,Organico
142,2,Si,6,Prioridad Alta,AdWords
143,2,No,,Prioridad Alta,Instagram
144,2,No,,Prioridad Baja,AdWords
145,2,Si,7,Prioridad Alta,Instagram
146,2,Si,10,Prioridad Baja,Organico
147,2,Si,2,Prioridad Alta,AdWords
148,2,No,,Prioridad Media,AdWords
149,2,Si,5,Prioridad Alta,Organico
150,2,Si,12,Prioridad Alta,Organico
151,2,Si,7,Prioridad Alta,Facebook
152,2,Si,5,Prioridad Alta,Organico
153,2,Si,13,Prioridad Alta,Instagram
154,2,Si,8,Prioridad Alta,Facebook
155,2,Si,21,Prioridad Media,Organico
156,2,No,,Prioridad Baja,Organico
157,2,No,,Prioridad Baja,Organico
158,2,Si,4,Prioridad Alta,AdWords
159,2,Si,3,Prioridad Alta,Instagram
160,2,No,,Prioridad Baja,Organico
161,2,Si,7,Prioridad Alta,AdWords
162,2,No,,Prioridad Baja,AdWords
163,2,No,,Prioridad Baja,AdWords
164,2,Si,7,Prioridad Alta,Organico
165,2,Si,2,Prioridad Alta,Facebook
166,2,No,,Prioridad Media,Organico
167,2,No,,Prioridad Alta,Facebook
168,2,Si,3,Prioridad Alta,AdWords
169,2,Si,2,Prioridad Baja,Organico
170,2,No,,Prioridad Media,Instagram
171,2,No,,Prioridad Alta,AdWords
172,2,No,,Prioridad Alta,AdWords
173,2,Si,7,Prioridad Alta,Instagram
174,2,No,,Prioridad Media,AdWords
175,2,No,,Prioridad Media,Organico
176,2,Si,7,Prioridad Alta,AdWords
177,2,Si,8,Prioridad Alta,Organico
178,2,No,,Prioridad Media,Facebook
179,2,Si,1,Prioridad Alta,AdWords
180,2,Si,2,Prioridad Alta,Organico
181,2,No,,Prioridad Media,Organico
182,2,No,,Prioridad Alta,Organico
183,2,No,,Prioridad Alta,Organico
184,2,No,,Prioridad Media,AdWords
185,2,No,,Prioridad Media,AdWords
186,2,Si,19,Prioridad Alta,AdWords
187,2,Si,2,Prioridad Alta,Organico
188,2,No,,Prioridad Baja,AdWords
189,2,Si,7,Prioridad Alta,Organico
190,2,Si,7,Prioridad Alta,Facebook
191,2,Si,5,Prioridad Alta,Organico
192,2,Si,2,Prioridad Alta,Instagram
193,2,Si,17,Prioridad Alta,AdWords
194,2,No,,Prioridad Media,AdWords
195,2,No,,Prioridad Alta,Instagram
196,2,Si,13,Prioridad Alta,Instagram
197,2,No,,Prioridad Alta,Organico
198,2,Si,20,Prioridad Alta,Instagram
199,2,Si,3,Prioridad Alta,Organico
200,2,No,,Prioridad Media,Instagram
201,2,Si,7,Prioridad Alta,AdWords
202,2,No,,Prioridad Media,Organico
203,2,No,,Prioridad Alta,Instagram
204,2,Si,6,Prioridad Media,AdWords
205,2,No,,Prioridad Media,Instagram
206,2,Si,3,Prioridad Alta,Facebook
207,2,No,,Prioridad Media,Instagram
208,2,Si,19,Prioridad Alta,Instagram
209,2,No,,Prioridad Media,Organico
210,2,No,,Prioridad Alta,Organico
211,2,Si,5,Prioridad Media,Facebook
212,2,No,,Prioridad Alta,Organico
213,2,No,,Prioridad Media,Instagram
214,2,Si,6,Prioridad Baja,AdWords
215,2,No,,Prioridad Alta,Organico
216,2,No,,Prioridad Alta,AdWords
217,2,No,,Prioridad Media,Instagram
218,2,Si,5,Prioridad Baja,AdWords
219,2,No,,Prioridad Alta,Instagram
220,2,No,,Prioridad Baja,Instagram
221,2,No,,Prioridad Baja,Organico
222,2,No,,Prioridad Baja,Organico
223,2,No,,Prioridad Baja,AdWords
224,2,Si,4,Prioridad Alta,AdWords
225,2,No,,Prioridad Media,Facebook
226,2,Si,13,Prioridad Alta,AdWords
227,2,No,,Prioridad Baja,Organico
228,2,Si,10,Prioridad Alta,AdWords
229,2,No,,Prioridad Media,AdWords
230,2,No,,Prioridad Media,Instagram
231,2,No,,Prioridad Media,Organico
232,2,No,,Prioridad Alta,AdWords
233,2,Si,5,Prioridad Alta,AdWords
234,2,Si,4,Prioridad Alta,AdWords
235,2,Si,4,Prioridad Alta,Instagram
236,2,No,,Prioridad Baja,Instagram
237,2,Si,1,Prioridad Alta,Instagram
238,2,Si,5,Prioridad Alta,AdWords
239,2,Si,5,Prioridad Alta,Organico
240,2,No,,Prioridad Alta,Facebook
241,2,No,,Prioridad Media,Organico
242,2,Si,13,Prioridad Alta,AdWords
243,2,No,,Prioridad Alta,Instagram
244,2,No,,Prioridad Alta,AdWords
245,2,No,,Prioridad Alta,Instagram
246,2,No,,Prioridad Media,AdWords
247,3,No,,Prioridad Media,AdWords
248,3,No,,Prioridad Media,Organico
249,3,Si,3,Prioridad Alta,Instagram
250,3,Si,5,Prioridad Alta,Facebook
251,3,No,,Prioridad Media,AdWords
252,3,No,,Prioridad Media,Facebook
253,3,Si,4,Prioridad Alta,Organico
254,3,Si,17,Prioridad Baja,AdWords
255,3,Si,2,Prioridad Alta,Instagram
256,3,No,,Prioridad Baja,AdWords
257,3,Si,4,Prioridad Alta,Instagram
258,3,No,,Prioridad Media,AdWords
259,3,No,,Prioridad Media,Organico
260,3,No,,Prioridad Alta,Organico
261,3,No,,Prioridad Baja,Facebook
262,3,No,,Prioridad Baja,Instagram
263,3,No,,Prioridad Baja,Instagram
264,3,No,,Prioridad Alta,Instagram
265,3,No,,Prioridad Alta,Instagram
266,3,Si,4,Prioridad Alta,Organico
267,3,Si,15,Prioridad Alta,Instagram
268,3,No,,Prioridad Media,Instagram
269,3,No,,Prioridad Media,Organico
270,3,No,,Prioridad Baja,Facebook
271,3,Si,6,Prioridad Alta,Instagram
272,3,Si,4,Prioridad Baja,AdWords
273,3,Si,1,Prioridad Alta,Instagram
274,3,Si,2,Prioridad Alta,AdWords
275,3,Si,5,Prioridad Media,Instagram
276,3,Si,12,Prioridad Alta,AdWords
277,3,Si,11,Prioridad Media,Organico
278,3,Si,3,Prioridad Media,AdWords
279,3,No,,Prioridad Media,Instagram
280,3,No,,Prioridad Baja,Organico
281,3,No,,Prioridad Alta,Instagram
282,3,Si,4,Prioridad Alta,Instagram
283,3,No,,Prioridad Media,Instagram
284,3,No,,Prioridad Alta,AdWords
285,3,No,,Prioridad Alta,Instagram
286,3,Si,6,Prioridad Alta,AdWords
287,3,No,,Prioridad Alta,Instagram
288,3,Si,6,Prioridad Alta,AdWords
289,3,Si,21,Prioridad Alta,AdWords
290,3,No,,Prioridad Media,Facebook
291,3,No,,Prioridad Media,AdWords
292,3,No,,Prioridad Media,Organico
293,3,No,,Prioridad Media,Organico
294,3,Si,2,Prioridad Media,Instagram
295,3,No,,Prioridad Media,AdWords
296,3,Si,21,Prioridad Alta,AdWords
297,3,Si,1,Prioridad Alta,Instagram
298,3,No,,Prioridad Media,Organico
299,3,No,,Prioridad Media,Organico
300,3,No,,Prioridad Alta,Instagram
301,3,No,,Prioridad Baja,Organico
302,3,No,,Prioridad Media,Instagram
303,3,Si,13,Prioridad Alta,AdWords
304,3,No,,Prioridad Media,Organico
305,3,Si,17,Prioridad Alta,Organico
306,3,Si,10,Prioridad Baja,AdWords
307,3,No,,Prioridad Baja,Organico
308,3,No,,Prioridad Baja,Organico
309,3,Si,7,Prioridad Alta,Facebook
310,3,No,,Prioridad Baja,Facebook
311,3,No,,Prioridad Baja,Organico
312,3,No,,Prioridad Alta,Organico
313,3,No,,Prioridad Baja,AdWords
314,3,Si,19,Prioridad Alta,Instagram
315,3,Si,6,Prioridad Alta,AdWords
316,3,No,,Prioridad Media,AdWords
317,3,No,,Prioridad Media,AdWords
318,3,Si,5,Prioridad Alta,Instagram
319,3,Si,5,Prioridad Media,Facebook
320,3,No,,Prioridad Alta,Facebook
321,3,No,,Prioridad Baja,Instagram
322,3,No,,Prioridad Media,Instagram
323,3,No,,Prioridad Baja,AdWords
324,3,No,,Prioridad Baja,AdWords
325,3,Si,19,Prioridad Baja,AdWords
326,3,Si,9,Prioridad Media,Facebook
327,3,No,,Prioridad Baja,AdWords
328,3,Si,3,Prioridad Alta,Organico
329,3,Si,1,Prioridad Alta,Facebook
330,3,Si,1,Prioridad Alta,Facebook
331,3,No,,Prioridad Baja,Organico
332,3,Si,7,Prioridad Alta,Instagram
333,3,Si,17,Prioridad Alta,AdWords
334,3,Si,2,Prioridad Alta,Organico
335,3,No,,Prioridad Baja,AdWords
336,3,No,,Prioridad Media,Instagram
337,3,Si,5,Prioridad Alta,Organico
338,3,Si,3,Prioridad Alta,Organico
339,3,Si,5,Prioridad Media,Instagram
340,3,Si,13,Prioridad Media,Organico
341,3,Si,7,Prioridad Media,Instagram
342,3,No,,Prioridad Media,Instagram
343,3,No,,Prioridad Baja,AdWords
344,3,No,,Prioridad Baja,AdWords
345,3,No,,Prioridad Media,Instagram
